Popis trasy,Označení linky,Webový odkaz na jízdní řád Veřejné dopravy Královéhradeckého kraje,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Délka v metrech,ID,Shape__Length
Zdobnice-Rychnov n.Kněž.,205,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=205,Královéhradecký kraj,CZ052,ALI28,53929.5593571,13,53929.559357142
Rychnov n.Kněž.-Lipovka-Litohrady-Černíkovice-Lično-Libel-Častolovice-Kostelec n.Orl.,207,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=207,Královéhradecký kraj,CZ052,ALI30,33321.5993901,14,33321.5993900892
Týniště n.O.-Albrechtice n.O.-Žďár n.O.-Borohrádek,211,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=211,Královéhradecký kraj,CZ052,ALI34,17083.0449067,15,17083.0449067213
Kostelec n.O.-Častolovice-Olešnice-Hřibiny-Ledská-Častolovice-Kostelec n.O.,221,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=221,Královéhradecký kraj,CZ052,ALI38,16628.2511581,16,16628.2511581428
Kostelec n.Orl.-Borohrádek-Čermná n.Orl.,223,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=223,Královéhradecký kraj,CZ052,ALI40,28189.2717616,17,28189.2717616309
Rokytnice v Orl.h.-Bartošovice v Orl.h.-Orlické Záhoří-Šerlich-Deštné v Orl.h.,240,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=240,Královéhradecký kraj,CZ052,ALI43,47086.3809305,18,47086.3809304767
Rychnov n.K.-Solnice-Skuhrov n.Bělou-Dobré-Dobruška,260,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=260,Královéhradecký kraj,CZ052,ALI47,52845.8620684,19,52845.8620683993
Dobruška-Bačetín-Ohnišov-Dobřany-Deštné v Orl.h.,266,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=266,Královéhradecký kraj,CZ052,ALI53,25915.6744965,20,25915.6744965179
Náchod-Kramolna-Olešnice-Červený Kostelec,303,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=303,Královéhradecký kraj,CZ052,ALI63,18860.8250765,21,18860.8250765494
Česká Skalice-Provodov-Šonov-Nové Město n.Met.,307,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=307,Královéhradecký kraj,CZ052,ALI66,13738.7962562,22,13738.7962561654
N.Město n.Met.-Slavoňov-N.Hrádek-Č.Čermná-Dobrošov-Náchod,308,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=308,Královéhradecký kraj,CZ052,ALI67,30520.571917,23,30520.5719169768
Jaroměř-Zaloňov-Velichovky-Dubenec,312,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=312,Královéhradecký kraj,CZ052,ALI70,32889.3924019,24,32889.3924018987
Dobruška-Opočno-Č. Meziříčí-Král. Lhota-Jasenná-Jaroměř,313,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=313,Královéhradecký kraj,CZ052,ALI71,45668.3144501,25,45668.3144500725
Jaroměř-Habřina-Smiřice-Hořiněves,315,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=315,Královéhradecký kraj,CZ052,ALI73,44956.8525347,26,44956.8525347063
Jaroměř-Josefov-Jasenná-Šestajovice-Městec,316,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=316,Královéhradecký kraj,CZ052,ALI74,27940.3474137,27,27940.3474136636
Nové Město n.Met.-Nahořany-Velká Jesenice-Rychnovek-Jaroměř,330,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=330,Královéhradecký kraj,CZ052,ALI77,32178.5199103,28,32178.5199102894
Nové Město n.Met.-Ohnišov-Bačetín-Sedloňov-Deštné v Orl.h.,331,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=331,Královéhradecký kraj,CZ052,ALI78,32996.3766674,29,32996.3766674068
Nové Město n.Met.-Nahořany-Velká Jesenice-Česká Skalice,333,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=333,Královéhradecký kraj,CZ052,ALI80,29507.5274244,30,29507.5274243897
Nové Město n.Met.-Bohuslavice-Dobruška,337,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=337,Královéhradecký kraj,CZ052,ALI83,19554.4564937,31,19554.456493746
N.Město n.Met.-Bohuslavice / Nahořany-České Meziříčí-Skršice-H.Králové,338,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=338,Královéhradecký kraj,CZ052,ALI84,46641.808812,32,46641.8088120119
Náchod-Hronov-Stárkov-Jívka-Radvanice,351,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=351,Královéhradecký kraj,CZ052,ALI87,47716.8760211,33,47716.876021078
Broumov-Otovice-Božanov,372,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=372,Královéhradecký kraj,CZ052,ALI96,23659.4513974,34,23659.4513973977
Křinice-Broumov-Heřmánkovice,376,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=376,Královéhradecký kraj,CZ052,ALI100,17768.745482,35,17768.7454819873
Trutnov-Radvanice-Adršpach,408,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=408,Královéhradecký kraj,CZ052,ALI118,30933.871073,36,30933.87107301
Dvůr Králové n.L.-Vítězná-Nemojov-Dvůr Králové n.L.,414,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=414,Královéhradecký kraj,CZ052,ALI122,26343.2023492,37,26343.2023492264
Dvůr Králové n.L.-Třebihošť-Bílá Třemešná-Dvůr Králové n.L.,415,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=415,Královéhradecký kraj,CZ052,ALI123,36032.3291073,38,36032.3291073005
Dvůr Králové n.L.-Doubravice-Dubenec-Velichovky-Dvůr Králové n.L.,417,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=417,Královéhradecký kraj,CZ052,ALI124,36986.4405467,39,36986.4405467425
Dvůr Králové n.L.-Kohoutov-Hajnice,419,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=419,Královéhradecký kraj,CZ052,ALI125,15726.0109496,40,15726.0109495836
Suchovršice-Úpice-Malé Svatoňovice-Velké Svatoňovice-Trutnov,424,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=424,Královéhradecký kraj,CZ052,ALI129,29778.5668314,41,29778.5668313634
Vrchlabí-Dolní Dvůr,454,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=454,Královéhradecký kraj,CZ052,ALI133,7754.56001454,42,7754.56001454093
Vrchlabí-Dolní Kalná-Zadní Ždírnice,455,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=455,Královéhradecký kraj,CZ052,ALI134,28325.2065199,43,28325.2065198656
Jičín-Valdice-Železnice-Lomnice n.Pop.-Semily,IDOL 501,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=501,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI185,14945.2577799,44,14945.2577799232
Jičín-Libáň-Dětenice,503,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=503,Královéhradecký kraj,CZ052,ALI143,23367.6150004,45,23367.6150003581
Jičín-Hořice-Hradec Králové,504,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=504,Královéhradecký kraj,CZ052,ALI144,55819.1135563,46,55819.1135563033
Jičín-Podhradí-Chyjice-Střevač-Markvartice-Libáň,509,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=509,Královéhradecký kraj,CZ052,ALI147,65884.4400795,47,65884.4400794858
Jičín-Podůlší-Jinolice-Hrdoňovice-Mladějov,511,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=511,Královéhradecký kraj,CZ052,ALI149,27036.1460485,48,27036.1460484958
"Jičín-Vršce-Kopidlno-Chroustov/Budčeves,Nečas",516,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=516,Královéhradecký kraj,CZ052,ALI153,43934.4450134,49,43934.4450134377
Lázně Bělohrad-Vřesník-Borek-Miletín-Zdobín,520,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=520,Královéhradecký kraj,CZ052,ALI154,26636.7637054,50,26636.7637054104
Hořice-Stračov-Petrovice-Sadová,521,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=521,Královéhradecký kraj,CZ052,ALI155,37739.0492644,51,37739.0492643669
Hořice-Jeřice-Cerekvice n.Bystř.-Sadová,524,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=524,Královéhradecký kraj,CZ052,ALI158,32281.2644307,52,32281.2644307221
Nová Paka-Stará Paka-Levínská Olešnice-Horka u St.Paky-Nová Paka,535,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=535,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI160,23276.429191,53,23276.4291910359
Staňkov-Pecka-Bukovina u Pecky-Kal-Pecka,537,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=537,Královéhradecký kraj,CZ052,ALI162,8297.85072453,54,8297.85072452666
Nová Paka-Úbislavice-Zboží-Krsmol-Nová Paka,539,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=539,Královéhradecký kraj,CZ052,ALI164,16543.6847574,55,16543.6847573923
Hradec Králové-Urbanice-Roudnice-Obědovice-Mlékosrby-Chlumec n.Cidl.,103,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=103,Královéhradecký kraj,CZ052,ALI3,54433.4381018,56,54433.4381017733
Hradec Králové-Libčany-Roudnice-Boharyně-Nechanice,104,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=104,Královéhradecký kraj,CZ052,ALI4,54857.9908551,57,54857.9908550883
Hradec Králové-Třesovice-Nechanice,106,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=106,Královéhradecký kraj,CZ052,ALI6,30703.0569731,58,30703.0569730964
Hradec Králové-Třebechovice p.Oreb.-Opočno-Dobruška,110,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=110,Královéhradecký kraj,CZ052,ALI10,59645.9449997,59,59645.9449997457
Dobruška-Opočno-Č.Meziříčí-Jílovice-Hr.Králové,111,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=111,Královéhradecký kraj,CZ052,ALI11,42114.3855262,60,42114.385526214
Nový Bydžov-Hlušice-Kozojedy-Vysoké Veselí-Slatiny-Jičín,150,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=150,Královéhradecký kraj,CZ052,ALI14,40890.986336,61,40890.9863360396
Chlumec n.Cidl.-Převýšov-Lovčice-Lužec n.Cidl.-Nový Bydžov,152,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=152,"Královéhradecký kraj, Středočeský kraj","CZ052, CZ020",ALI16,39564.0060707,62,39564.0060706768
Nový Bydžov-Smidary-Vysoké Veselí-Chomutice-Ostroměř-Hořice,155,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=155,Královéhradecký kraj,CZ052,ALI19,42594.2625391,63,42594.2625391011
Rychnov n.Kn.-Kostelec n.O.-Borohrádek-Holice-Pardubice,200,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=200,Královéhradecký kraj,CZ052,ALI23,31599.3383759,64,31599.3383759334
Rychnov n.Kn.-Javornice-Pěčín-Rokytnice v O.h.,201,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=201,Královéhradecký kraj,CZ052,ALI24,40382.2562998,65,40382.2562998448
Rychnov n.Kněž.-Javornice-Slatina n.Zd.-Žamberk,202,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=202,Královéhradecký kraj,CZ052,ALI25,23873.2544584,66,23873.2544584414
Borovnice-Lhoty u Potštejna-Sudslava-Potštejn-Vamberk-Rychnov n.Kněž.,203,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=203,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI26,28970.8189884,67,28970.8189884062
"Rychnov n.Kněž.-Javornice-Liberk-Zdobnice,Kačerov",206,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=206,Královéhradecký kraj,CZ052,ALI29,41827.5944015,68,41827.594401484
Častolovice-Kostelec n.Orl.-Vamberk-Rybná n.Zdob.-Slatina n.Zdob.-Rokytnice v Orl.h.,209,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=209,Královéhradecký kraj,CZ052,ALI32,34540.3108787,69,34540.310878733
Kvasiny - Rychnov n.Kněž.-Vamberk-Kostelec n.Orl.,208,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=208,Královéhradecký kraj,CZ052,ALI31,22748.0383653,70,22748.0383653347
Týniště n.Orl.-Lípa n.Orl.-Křivice-Lično-Voděrady-Černíkovice-Kvasiny-Rychnov n.Kněž.,210,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=210,Královéhradecký kraj,CZ052,ALI33,44630.7636886,71,44630.7636886476
Rychnov n.Kn.-Synkov-Slemeno-Kostelec n.O.,220,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=220,Královéhradecký kraj,CZ052,ALI37,20374.4969095,72,20374.4969095428
Kostelec n.Orl.-Kost.Lhota-Borovnice-Choceň,222,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=222,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI39,18966.8102266,73,18966.8102266427
Deštné v O.h.-Skuhrov n.B.-Rychnov n.Kn.-Kostelec n.O.-Častolovice,225,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=225,Královéhradecký kraj,CZ052,ALI41,50746.0484096,74,50746.048409608
"Kostelec n.Orl.-Kost.Lhota-Doudleby n.Orl.-Krchleby-Borovnice,Přestavlky-Lhoty u Potštejna",227,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=227,Královéhradecký kraj,CZ052,ALI42,16599.0179055,75,16599.0179055423
Bartošovice v Orl.h.-Kunvald-Žamberk,243,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=243,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI45,12284.447579,76,12284.447579039
Kvasiny-Rychnov n.Kněž.-Vamberk-Ústí n.Orl.-Česká Třebová,250,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=250,Královéhradecký kraj,CZ052,ALI46,31930.8954941,77,31930.8954941161
Náchod-Kramolna-Studnice-Česká Skalice-Jaroměř,302,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=302,Královéhradecký kraj,CZ052,ALI62,36814.1213983,78,36814.1213983088
Náchod-Česká Skalice-Jaroměř-Hradec Králové-Pardubice,306,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=306,Královéhradecký kraj,CZ052,ALI65,55148.658995,79,55148.6589950339
Jaroměř-Josefov-Vlkov-Smiřice-Skalice-Hradec Králové,311,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=311,Královéhradecký kraj,CZ052,ALI69,39359.783722,80,39359.7837219525
Jaroměř-Heřmanice-Chvalkovice-Brzice-Hořičky,314,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=314,Královéhradecký kraj,CZ052,ALI72,35796.5842762,81,35796.5842761501
Česká Skalice-Žernov-Červená Hora-Náchod-Č. Skalice,320,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=320,Královéhradecký kraj,CZ052,ALI75,27861.4489977,82,27861.4489977413
Červený Kostelec-Červená Hora-Hořičky-Lhota p. Hořičkami,321,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=321,Královéhradecký kraj,CZ052,ALI76,15570.5671972,83,15570.5671972256
Police n.Met.-Česká Metuje-Teplice n.Met.-Adršpach,360,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=360,Královéhradecký kraj,CZ052,ALI89,25062.5965071,84,25062.5965070761
Turistický autobus s přepravou kol (baťoh): Police n. Met.-Suchý Důl-Slavný-Hlavňov-Police n. Met.,363,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=363,Královéhradecký kraj,CZ052,ALI91,14649.955275,85,14649.9552749668
Starostín-Meziměstí-Vižňov,366,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=366,Královéhradecký kraj,CZ052,ALI93,6610.98973742,86,6610.98973741981
Broumov-Meziměstí-Teplice n.M.-Adršpach,371,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=371,Královéhradecký kraj,CZ052,ALI95,40428.175582,87,40428.1755819536
Broumov-Šonov,374,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=374,Královéhradecký kraj,CZ052,ALI98,9741.60970394,88,9741.60970394093
MHD Náchod: Pavlišov – aut.st. – St.Město – Branka,381,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=381,Královéhradecký kraj,CZ052,ALI101,20725.7809107,89,20725.7809106589
Turistický autobus s přepravou kol (baťoh): Jičín-Holín-Libuň-Újezd p.Tr.-Hrubá Skála-Turnov,391,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=391,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI104,28879.7580689,90,28879.7580688621
Broumov-Police n. Met.-Hronov-Náchod,375,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=375,Královéhradecký kraj,CZ052,ALI99,41256.2993976,91,41256.2993976006
"Broumov-Heřmánkovice,Janovičky",373,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=373,Královéhradecký kraj,CZ052,ALI97,8590.89458711,92,8590.89458710733
Dobruška-Val-Ohnišov-Nový Hrádek-Olešnice v Orl.h.,262,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=262,Královéhradecký kraj,CZ052,ALI49,21865.1118377,93,21865.1118377372
Broumov-Náchod-Nové Město n.Met.-Hradec Králové-Praha,305,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=305,Královéhradecký kraj,CZ052,ALI64,100219.485435,94,100219.485434878
Broumov-Hynčice-Meziměstí-Ruprechtice,364,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=364,Královéhradecký kraj,CZ052,ALI92,18271.0839256,95,18271.0839255562
MHD Náchod: Bražec – Běloves – Kudowa Zdrój,382,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=382,"Královéhradecký kraj, Polsko","CZ052, PL",ALI102,20333.2219816,96,20333.2219815521
Turistický autobus s přepravou kol (baťoh): Liberec-Turnov-Vyskeř-Sobotka,392,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=392,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI105,11020.7770238,97,11020.7770237746
