Popis trasy,Označení linky,Webový odkaz na jízdní řád Veřejné dopravy Královéhradeckého kraje,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Jedinečný identifikátor v katalogu otevřených dat Data KHK,Délka v metrech,ID,Shape__Length
Jičín-Mlázovice-Lázně Bělohrad,507,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=507,Královéhradecký kraj,CZ052,ALI145,53306.5776251,124,53306.5776250706
ičín-Kacákova Lhota-Vysoké Veselí-Volanice-Kozojedy,508,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=508,Královéhradecký kraj,CZ052,ALI146,38456.5625134,125,38456.5625133727
Jičín-Valdice-Dřevěnice-Soběraz-Železnice-Kyje,513,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=513,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI151,30287.6501745,126,30287.6501744683
Špindlerův Mlýn-Vrchlabí-Nová Paka-Lázně Bělohrad-Hořice-Hradec Králové,530,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=530,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI159,103624.732365,127,103624.732364847
Dvůr Králové n.L.-Mostek-Pecka-Nová Paka-Stará Paka,536,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=536,Královéhradecký kraj,CZ052,ALI161,44945.1648361,128,44945.1648361076
Nová Paka-Vidochov-Pecka,538,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=538,Královéhradecký kraj,CZ052,ALI163,13953.6296987,129,13953.6296987494
Pardubice - Hrobice - Hradec Králové,600,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=600,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI165,34692.0582149,130,34692.0582148737
Pardubice - Dříteč - Borek - Vysoká n.L. - Hradec Králové,601,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=601,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI166,20670.9223002,131,20670.9223002082
Chlumec nad Cidlinou-Rohovládova Bělá-Lázně Bohdaneč-Pardubice,607,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=607,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI168,11050.4048487,132,11050.4048487081
Přelouč - Lázně Bohdaneč - Dolany - Staré Ždánice - Hradec Králové,620,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=620,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI170,10783.9132639,133,10783.9132638644
Dašice - Dolní Roveň - Holice - Vysoké Chvojno - Chvojenec - Býšť - Hradec Králové,650,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=650,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI172,19211.7071562,134,19211.7071562091
Pardubice - Staré Ždánice - Osice- Dobřenice,602,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=602,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI167,12412.4316176,135,12412.4316175565
Ústí n.Orl. - Libchavy - Žamberk -Kunvald - Rokytnice v Orlh. - Říčky v Orl.h.,902,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=902,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI177,6343.38993103,136,6343.38993102748
Rychnov n.Kn.-Kostelec n.O.-Týniště n.O.-Hradec Králové,115,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=115,Královéhradecký kraj,CZ052,ALI13,73425.7189591,137,73425.7189590613
"Rychnov n.Kněž.-Vamberk,Peklo n.Zdob.-Vamberk",217,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=217,Královéhradecký kraj,CZ052,ALI35,10074.6935184,138,10074.693518403
Rokytnice v Orl.h.-Žamberk,241,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=241,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI44,6343.38993103,139,6343.38993102748
Rychnov n.Kněž.-Solnice--Trnov-Opočno/Dobruška-České Meziříčí-Jaroměř-Dvůr Králové n.L.,261,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=261,Královéhradecký kraj,CZ052,ALI48,70713.80109,140,70713.801090039
Dobruška-Opočno-Pohoří-Č.Meziříčí,263,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=263,Královéhradecký kraj,CZ052,ALI50,39375.8288842,141,39375.8288842202
Orlické Záhoří-Deštné v Orl.h.-Dobruška-Třebechovice pod Orebem-Hradec Králové,264,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=264,Královéhradecký kraj,CZ052,ALI51,66390.3466678,142,66390.3466678416
Nové Město n.Met.-Chlístov-Dobruška,267,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=267,Královéhradecký kraj,CZ052,ALI54,33938.9532518,143,33938.9532518071
"Dobruška - Opočno-Přepychy-Bolehošť-Týniště n.Orl.,Křivice",270,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=270,Královéhradecký kraj,CZ052,ALI55,34705.1218791,144,34705.1218791255
Turistický autobus s přepravou kol (vlek na kola): Deštné v Orl.h.-Solnice-Rychnov n.Kněž.-Vamberk-Častolovice,295,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=295,Královéhradecký kraj,CZ052,ALI58,47080.1198701,145,47080.119870089
Hronov-Vysoká Srbská-Žďárky-Malá Čermná-Kudowa Zdrój - Velké Poříčí,352,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=352,"Královéhradecký kraj, Polsko","CZ052, PL",ALI88,22398.1938255,146,22398.1938255047
"Rudník,Fořt-Rudník-Hostinné-Čermná",460,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=460,Královéhradecký kraj,CZ052,ALI138,26774.9977439,147,26774.9977438935
Hostinné-Mostek-Bílá Třemešná-Dvůr Králové n.L.,462,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=462,Královéhradecký kraj,CZ052,ALI139,24455.7180464,148,24455.718046442
Turistický autobus s přepravou kol (baťoh): Jičín-Holín-Prachovské skály-Pařezská Lhota-Mladějov-Sobotka-Podkost,510,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=510,Královéhradecký kraj,CZ052,ALI148,25202.5492111,149,25202.5492111448
Jičín-Ostružno-Mladějov-Újezd p.Tr.-Sobotka,512,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=512,Královéhradecký kraj,CZ052,ALI150,38134.3945918,150,38134.3945918236
Hořice-Miletín-Dvůr Králové n.Lab.,522,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=522,Královéhradecký kraj,CZ052,ALI156,31137.6276206,151,31137.6276205925
Doudleby n.Orl. - Vamberk - Rybná n. Zdob. - Žamberk,981,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=981,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI180,26746.8498403,152,26746.8498402783
Náchod-Nové Město n.Met.-Dobruška-Rychnov n.Kněž.,309,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=309,Královéhradecký kraj,CZ052,ALI68,64543.574754,153,64543.5747540282
Turistický autobus s přepravou kol (vlek na kola): Hradec Králové-Dvůr Králové nad Labem-Trutnov-Svoboda n.Úpou-Pec p.Sněžkou-Malá Úpa,495,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=495,Královéhradecký kraj,CZ052,ALI141,88576.471685,154,88576.4716849613
"Turistický autobus s přepravou kol (vlek na kola): Deštné v Orl.h.,Šerlich-Dobruška-Opočno-Třebechovice p.Oreb.-Hradec",193,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=193,Královéhradecký kraj,CZ052,ALI22,61021.3444073,155,61021.3444072903
Nové Město n.Met.-Mezilesí-Dobřany v Orl.h./Nový Hrádek,332,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=332,Královéhradecký kraj,CZ052,ALI79,24877.9445773,156,24877.9445773169
Trutnov-Suchovršice-Úpice-Červený Kostelec-Náchod,301,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=301,Královéhradecký kraj,CZ052,ALI61,57230.777048,157,57230.7770479961
Červený Kostelec-Česká Skalice,349,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=349,Královéhradecký kraj,CZ052,ALI86,56012.4266055,158,56012.4266055346
Jičín-Valdice-Železnice-Lomnice n.Pop.-Semily,IDOL 502,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=502,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI186,14945.2577799,159,14945.2577799232
Holice - Borohrádek - Horní Jelení,612,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=612,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI169,31317.2918778,160,31317.2918777678
Přelouč-Lázně Bohdaneč-Přelovice-Rohovládova Bělá-Dobřenice,635,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=635,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI171,33187.6956709,161,33187.6956709173
Kopidlno-Libáň-Dolní Bousov,735,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=735,"Královéhradecký kraj, Středočeský kraj","CZ052, CZ020",ALI176,29924.3233408,162,29924.3233408334
Turistický autobus s přepravou kol (vlek na kola): Hor. Malá Úpa-Pec p.Sněžkou-Janské Lázně-Vrchlabí-Rokytnice n.Jiz.-Harrachov,990,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=990,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI181,56403.9768467,163,56403.9768466891
Lanškroun - Ústí nad Orlicí / Rychnov nad Kněžnou - Vamberk - Kostelec .Orl. - Hradec Králové,991,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=991,"Královéhradecký kraj, Pardubický kraj","CZ052, CZ053",ALI182,78719.759523,164,78719.7595229646
Liberec - Turnov - Rovensko p. Tr. - Jičín,IDOL 350,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=350,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI183,28759.5372862,165,28759.5372862376
Jilemnice - Horní Branná - Vrchlabí,IDOL 963,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=963,Královéhradecký kraj,CZ052,ALI192,5820.93990353,166,5820.93990353168
Jilemnice - Studenec - Bukovina u Čisté - Dolní Kalná - Horka u St. Paky - Levínská Olešnice,IDOL 964,https://www.dopravakhk.cz/vyhledat-jizdni-rad.html?query=964,"Královéhradecký kraj, Liberecký kraj","CZ052, CZ051",ALI193,25341.4261865,167,25341.4261865074
